Source Type,Region,Pollutant,Emissions (lbs/year)
SA,6030,Arsenic,2.234
A,6018,DPM,0.0021
P,6019,HexChrome,5.3021
OM,6030,Arsenic,4.441
NM,6018,HexChrome,1.241
B,6040,NOx,3.567
SA,6020,Benzene,1.124
A,6010,Formaldehyde,0.512
P,6011,Lead,2.301
OM,6020,CO,4.123
NM,6021,SO2,1.987
B,6035,PM10,3.123
SA,6025,Arsenic,2.111
A,6019,DPM,0.0031
P,6018,HexChrome,5.110
OM,6025,Arsenic,4.222
NM,6028,HexChrome,1.341
B,6039,NOx,3.657
SA,6029,Benzene,1.214
A,6015,Formaldehyde,0.612
P,6014,Lead,2.401
OM,6021,CO,4.223
NM,6024,SO2,1.887
B,6032,PM10,3.223
SA,6026,Arsenic,2.011
A,6013,DPM,0.0041
P,6012,HexChrome,5.210
OM,6022,Arsenic,4.322
NM,6027,HexChrome,1.441
B,6038,NOx,3.757
SA,6028,Benzene,1.314
A,6017,Formaldehyde,0.712
P,6016,Lead,2.501
OM,6023,CO,4.323
NM,6026,SO2,1.787
B,6031,PM10,3.323
SA,6027,Arsenic,2.211
A,6016,DPM,0.0051
P,6015,HexChrome,5.310
OM,6024,Arsenic,4.422
NM,6025,HexChrome,1.541
B,6037,NOx,3.857
SA,6024,Benzene,1.414
A,6014,Formaldehyde,0.812
P,6013,Lead,2.601
OM,6025,CO,4.423
NM,6029,SO2,1.687
B,6036,PM10,3.423
SA,6023,Arsenic,2.311
